Timestamp (ms),Gap Error (m)
1726249093384,0.9118069919453511
1726249093402,0.9399086482649781
1726249093421,0.8944191540684896
1726249093437,0.9211519863720183
1726249093458,0.897921030261839
1726249093474,0.953855630163762
1726249093504,0.9069070287600858
1726249093513,0.9474017753870227
1726249093533,0.923138164333456
1726249093550,0.9675118391006925
1726249093565,0.9434999185559656
1726249093585,0.9711688866853065
1726249093603,0.9228017282241048
1726249093626,0.9776211249609967
1726249093642,0.95550207974054
1726249093659,0.9831153442457872
1726249093678,0.9341088651638172
1726249093691,0.9618320237723323
1726249093713,0.9370199360143925
1726249093731,0.9953946541957492
1726249093765,0.945994956230019
1726249093784,0.9735959178970806
1726249093804,0.9482850760379358
1726249093824,1.004236368108772
1726249093839,0.9816549448832586
1726249093855,1.009224779763819
1726249093874,0.9580320368035409
1726249093897,1.0130246785698223
1726249093911,0.9872830482091404
1726249093929,1.0173765386984321
1726249093947,0.9673036214413191
1726249093960,0.9947837544833962
1726249093978,0.9687613082148054
1726249093994,1.0237917640888217
1726249094018,0.9738819536058538
1726249094031,1.0026529238909236
1726249094048,0.9764757656134964
1726249094063,1.031514673695372
1726249094079,1.005315601214536
1726249094095,1.0327998246667192
1726249094113,0.9802606691698394
1726249094136,1.0386068178589607
1726249094151,1.0125149032911325
1726249094167,1.0400274878529459
1726249094184,0.9873371692097539
1726249094197,1.0148554423436473
1726249094215,0.9882320295662197
1726249094232,1.0453321806936047
1726249094260,0.9925979508536247
1726249094273,1.0200756633801942
1726249094291,0.9937127693135439
1726249094308,1.0516370307403702
1726249094323,1.0154612813762625
1726249094338,1.0429714786753026
1726249094357,0.9981114987754625
1726249094381,1.0531081344350341
1726249094398,1.0267330913312542
1726249094414,1.0554280363029296
1726249094432,1.0008948235753103
1726249094446,1.0283428965904453
1726249094463,1.001950607585607
1726249094479,1.056825696020558
1726249094502,1.0040830025661651
1726249094516,1.0435586436204685
1726249094540,1.01441235901724
1726249094557,1.0583188003062443
1726249094573,1.0319440660475294
1726249094588,1.0593208392476066
1726249094606,1.0066318319581216
1726249094631,1.062329149300024
1726249094649,1.0354728975272187
1726249094664,1.062871808779799
1726249094681,1.0104461588769493
1726249094694,1.0378039376201689
1726249094713,1.0116676838138892
1726249094728,1.0666203447658251
1726249094754,1.0142121808769735
1726249094767,1.0415972440046253
1726249094784,1.0157886645395902
1726249094800,1.070418679346028
1726249094814,1.0404342513086253
1726249094830,1.0678562750296816
1726249094846,1.0249377399673731
1726249094876,1.0795928302102924
1726249094891,1.0546456740095858
1726249094907,1.0819299771748594
1726249094924,1.0369921840411247
1726249094937,1.065206305822819
1726249094957,1.0410069773455741
1726249094973,1.0958944723388009
1726249094997,1.0482651954745386
1726249095010,1.0872369209727584
1726249095027,1.0648329490118615
1726249095042,1.108697969922802
1726249095057,1.085617875375601
1726249095072,1.113011787260087
1726249095090,1.067422831743007
1726249095113,1.1213217246086509
1726249095129,1.0975308511498283
1726249095146,1.1250262482968587
1726249095166,1.0806542951693499
1726249095181,1.1082129108238217
1726249095200,1.0862076654923731
1726249095217,1.1402252792568288
1726249095242,1.094136393962323
1726249095257,1.1217880536511875
1726249095275,1.100106353337977
1726249095292,1.1554465827585552
1726249095306,1.1339157043769799
1726249095322,1.1639283143474288
1726249095339,1.1144694897524907
1726249095363,1.1700180105777744
1726249095378,1.1483736915336618
1726249095393,1.1762006187809138
1726249095410,1.1327237417581806
1726249095423,1.1606312426287646
1726249095441,1.1292527973588515
1726249095457,1.18487546069198
1726249095481,1.1405097700615978
